externalId,amount,currency,transactionDate,referenceId,description
B-1,2677.91,INR,2026-08-18,PAY-1001,ACH SETTLEMENT ACME
B-2,9807.72,INR,2026-08-18,PAY-1002,ACH SETTLEMENT ACME
B-3,7953.28,INR,2026-08-18,PAY-1003,ACH SETTLEMENT ACME
B-4,2161.65,INR,2026-08-18,PAY-1004,ACH SETTLEMENT ACME
B-5,3130.72,INR,2026-08-18,PAY-1005,ACH SETTLEMENT ACME
B-6,7570.66,INR,2026-08-18,PAY-1006,ACH SETTLEMENT ACME
B-7,7887.34,INR,2026-08-18,PAY-1007,ACH SETTLEMENT ACME
B-8,2945.10,INR,2026-08-18,PAY-1008,ACH SETTLEMENT ACME
B-9,265.37,INR,2026-08-18,PAY-1009,ACH SETTLEMENT ACME
B-10,1714.65,INR,2026-08-18,PAY-1010,ACH SETTLEMENT ACME
B-11,3759.01,INR,2026-08-18,PAY-1011,ACH SETTLEMENT ACME
B-12,4408.58,INR,2026-08-18,PAY-1012,ACH SETTLEMENT ACME
B-13,5774.89,INR,2026-08-18,PAY-1013,ACH SETTLEMENT ACME
B-14,1870.81,INR,2026-08-18,PAY-1014,ACH SETTLEMENT ACME
B-15,5046.15,INR,2026-08-18,PAY-1015,ACH SETTLEMENT ACME
B-16,8279.06,INR,2026-08-18,PAY-1016,ACH SETTLEMENT ACME
B-17,6054.37,INR,2026-08-18,PAY-1017,ACH SETTLEMENT ACME
B-18,4302.98,INR,2026-08-18,PAY-1018,ACH SETTLEMENT ACME
B-19,7935.73,INR,2026-08-18,PAY-1019,ACH SETTLEMENT ACME
B-20,8480.72,INR,2026-08-18,PAY-1020,ACH SETTLEMENT ACME
B-21,628.32,INR,2026-08-18,PAY-1021,ACH SETTLEMENT ACME
B-22,4031.11,INR,2026-08-18,PAY-1022,ACH SETTLEMENT ACME
B-23,7580.32,INR,2026-08-18,PAY-1023,ACH SETTLEMENT ACME
B-24,4348.54,INR,2026-08-18,PAY-1024,ACH SETTLEMENT ACME
B-25,4831.31,INR,2026-08-18,PAY-1025,ACH SETTLEMENT ACME
B-26,7746.19,INR,2026-08-18,PAY-1026,ACH SETTLEMENT ACME
B-27,2988.91,INR,2026-08-18,PAY-1027,ACH SETTLEMENT ACME
B-28,5781.64,INR,2026-08-18,PAY-1028,ACH SETTLEMENT ACME
B-29,8459.40,INR,2026-08-18,PAY-1029,ACH SETTLEMENT ACME
B-30,2005.84,INR,2026-08-18,PAY-1030,ACH SETTLEMENT ACME
B-31,9180.86,INR,2026-08-18,PAY-1031,ACH SETTLEMENT ACME
B-32,4665.56,INR,2026-08-18,PAY-1032,ACH SETTLEMENT ACME
B-33,2978.25,INR,2026-08-18,PAY-1033,ACH SETTLEMENT ACME
B-34,2791.08,INR,2026-08-18,PAY-1034,ACH SETTLEMENT ACME
B-35,1554.26,INR,2026-08-18,PAY-1035,ACH SETTLEMENT ACME
B-36,2283.30,INR,2026-08-18,PAY-1036,ACH SETTLEMENT ACME
B-37,399.15,INR,2026-08-18,PAY-1037,ACH SETTLEMENT ACME
B-38,1840.00,INR,2026-08-18,PAY-1038,ACH SETTLEMENT ACME
B-39,7873.15,INR,2026-08-18,PAY-1039,ACH SETTLEMENT ACME
B-40,8962.47,INR,2026-08-18,PAY-1040,ACH SETTLEMENT ACME
B-41,3598.90,INR,2026-08-20,PAY-1041,ACH SETTLEMENT ACME
B-42,5068.37,INR,2026-08-20,PAY-1042,ACH SETTLEMENT ACME
B-43,3007.95,INR,2026-08-20,PAY-1043,ACH SETTLEMENT ACME
B-44,1861.26,INR,2026-08-20,PAY-1044,ACH SETTLEMENT ACME
B-45,6718.42,INR,2026-08-20,PAY-1045,ACH SETTLEMENT ACME
B-46,3620.82,INR,2026-08-20,PAY-1046,ACH SETTLEMENT ACME
B-47,1684.13,INR,2026-08-20,PAY-1047,ACH SETTLEMENT ACME
B-48,7637.45,INR,2026-08-20,PAY-1048,ACH SETTLEMENT ACME
B-49,8301.19,INR,2026-08-20,PAY-1049,ACH SETTLEMENT ACME
B-50,7854.88,INR,2026-08-20,PAY-1050,ACH SETTLEMENT ACME
B-51,8975.38,INR,2026-08-20,PAY-1051,ACH SETTLEMENT ACME
B-52,9732.95,INR,2026-08-20,PAY-1052,ACH SETTLEMENT ACME
B-53,3714.00,INR,2026-08-20,PAY-1053,ACH SETTLEMENT ACME
B-54,2642.01,INR,2026-08-20,PAY-1054,ACH SETTLEMENT ACME
B-55,5538.52,INR,2026-08-20,PAY-1055,ACH SETTLEMENT ACME
B-56,3493.46,INR,2026-08-18,PAY-1056,ACH SETTLEMENT ACME
B-57,5797.83,INR,2026-08-18,PAY-1057,ACH SETTLEMENT ACME
B-58,2369.71,INR,2026-08-18,PAY-1058,ACH SETTLEMENT ACME
B-59,4293.51,INR,2026-08-18,PAY-1059,ACH SETTLEMENT ACME
B-60,8866.47,INR,2026-08-18,PAY-1060,ACH SETTLEMENT ACME
B-61,2026.68,INR,2026-08-18,PAY-1061,ACH SETTLEMENT ACME
B-62,7314.80,INR,2026-08-18,PAY-1062,ACH SETTLEMENT ACME
B-63,9874.26,INR,2026-08-18,PAY-1063,ACH SETTLEMENT ACME
B-64,3947.20,INR,2026-08-18,PAY-1064,ACH SETTLEMENT ACME
B-65,4427.09,INR,2026-08-18,PAY-1065,ACH SETTLEMENT ACME
B-66,1664.77,INR,2026-08-18,,ACH SETTLEMENT ACME
B-67,1613.44,INR,2026-08-18,,ACH SETTLEMENT ACME
B-68,8516.85,INR,2026-08-18,,ACH SETTLEMENT ACME
B-69,9481.37,INR,2026-08-18,,ACH SETTLEMENT ACME
B-70,8867.16,INR,2026-08-18,,ACH SETTLEMENT ACME
B-71,7453.50,INR,2026-08-18,,ACH SETTLEMENT ACME
B-72,6163.56,INR,2026-08-18,,ACH SETTLEMENT ACME
B-73,3852.54,INR,2026-08-18,,ACH SETTLEMENT ACME
B-74,4237.96,INR,2026-08-18,,ACH SETTLEMENT ACME
B-75,5745.35,INR,2026-08-18,,ACH SETTLEMENT ACME
B-76,3351.17,INR,2026-08-18,PAY-1076,MISC DEPOSIT STRIPE.COM 88392
B-77,5106.29,INR,2026-08-18,PAY-1077,MISC DEPOSIT STRIPE.COM 88392
B-78,8001.63,INR,2026-08-18,PAY-1078,MISC DEPOSIT STRIPE.COM 88392
B-79,9145.35,INR,2026-08-18,PAY-1079,MISC DEPOSIT STRIPE.COM 88392
B-80,6452.31,INR,2026-08-18,PAY-1080,MISC DEPOSIT STRIPE.COM 88392
B-81,694.52,INR,2026-08-18,PAY-1081,MISC DEPOSIT STRIPE.COM 88392
B-82,4012.57,INR,2026-08-18,PAY-1082,MISC DEPOSIT STRIPE.COM 88392
B-83,8862.07,INR,2026-08-18,PAY-1083,MISC DEPOSIT STRIPE.COM 88392
B-84,4980.45,INR,2026-08-18,PAY-1084,MISC DEPOSIT STRIPE.COM 88392
B-85,4182.69,INR,2026-08-18,PAY-1085,MISC DEPOSIT STRIPE.COM 88392
B-86,347.41,INR,2026-08-18,PAY-DUP-0,ACH SETTLEMENT ACME
B-88,2364.82,INR,2026-08-18,PAY-DUP-1,ACH SETTLEMENT ACME
B-90,7690.08,INR,2026-08-18,PAY-DUP-2,ACH SETTLEMENT ACME
B-92,8135.86,INR,2026-08-18,PAY-DUP-3,ACH SETTLEMENT ACME
B-94,8100.31,INR,2026-08-18,PAY-DUP-4,ACH SETTLEMENT ACME
B-97,25.00,INR,2026-08-18,FEE-97,MONTHLY MAINTENANCE FEE
B-99,25.00,INR,2026-08-18,FEE-99,MONTHLY MAINTENANCE FEE
B-101,25.00,INR,2026-08-18,FEE-101,MONTHLY MAINTENANCE FEE
B-103,25.00,INR,2026-08-18,FEE-103,MONTHLY MAINTENANCE FEE
B-105,25.00,INR,2026-08-18,FEE-105,MONTHLY MAINTENANCE FEE
B-111,3522.65,INR,2026-08-24,PAY-1111,ACH SETTLEMENT WEEKEND CORP
B-112,472.38,INR,2026-08-24,PAY-1112,ACH SETTLEMENT WEEKEND CORP
B-113,4356.88,INR,2026-08-24,PAY-1113,ACH SETTLEMENT WEEKEND CORP
B-114,9666.60,INR,2026-08-24,PAY-1114,ACH SETTLEMENT WEEKEND CORP
B-115,9113.50,INR,2026-08-24,PAY-1115,ACH SETTLEMENT WEEKEND CORP
B-116,9279.41,INR,2026-08-18,UNEXPECTED-116,WIRE TRANSFER FROM UNKNOWN
B-117,7662.93,INR,2026-08-18,UNEXPECTED-117,WIRE TRANSFER FROM UNKNOWN
B-118,3117.98,INR,2026-08-18,UNEXPECTED-118,WIRE TRANSFER FROM UNKNOWN
B-119,9335.16,INR,2026-08-18,UNEXPECTED-119,WIRE TRANSFER FROM UNKNOWN
B-120,6873.83,INR,2026-08-18,UNEXPECTED-120,WIRE TRANSFER FROM UNKNOWN
