source_transaction,target_transaction,expected_match
P-1,S-1,true
S-1,B-1,true
B-1,L-1,true
P-2,S-2,true
S-2,B-2,true
B-2,L-2,true
P-3,S-3,true
S-3,B-3,true
B-3,L-3,true
P-4,S-4,true
S-4,B-4,true
B-4,L-4,true
P-5,S-5,true
S-5,B-5,true
B-5,L-5,true
P-6,S-6,true
S-6,B-6,true
B-6,L-6,true
P-7,S-7,true
S-7,B-7,true
B-7,L-7,true
P-8,S-8,true
S-8,B-8,true
B-8,L-8,true
P-9,S-9,true
S-9,B-9,true
B-9,L-9,true
P-10,S-10,true
S-10,B-10,true
B-10,L-10,true
P-11,S-11,true
S-11,B-11,true
B-11,L-11,true
P-12,S-12,true
S-12,B-12,true
B-12,L-12,true
P-13,S-13,true
S-13,B-13,true
B-13,L-13,true
P-14,S-14,true
S-14,B-14,true
B-14,L-14,true
P-15,S-15,true
S-15,B-15,true
B-15,L-15,true
P-16,S-16,true
S-16,B-16,true
B-16,L-16,true
P-17,S-17,true
S-17,B-17,true
B-17,L-17,true
P-18,S-18,true
S-18,B-18,true
B-18,L-18,true
P-19,S-19,true
S-19,B-19,true
B-19,L-19,true
P-20,S-20,true
S-20,B-20,true
B-20,L-20,true
P-21,S-21,true
S-21,B-21,true
B-21,L-21,true
P-22,S-22,true
S-22,B-22,true
B-22,L-22,true
P-23,S-23,true
S-23,B-23,true
B-23,L-23,true
P-24,S-24,true
S-24,B-24,true
B-24,L-24,true
P-25,S-25,true
S-25,B-25,true
B-25,L-25,true
P-26,S-26,true
S-26,B-26,true
B-26,L-26,true
P-27,S-27,true
S-27,B-27,true
B-27,L-27,true
P-28,S-28,true
S-28,B-28,true
B-28,L-28,true
P-29,S-29,true
S-29,B-29,true
B-29,L-29,true
P-30,S-30,true
S-30,B-30,true
B-30,L-30,true
P-31,S-31,true
S-31,B-31,true
B-31,L-31,true
P-32,S-32,true
S-32,B-32,true
B-32,L-32,true
P-33,S-33,true
S-33,B-33,true
B-33,L-33,true
P-34,S-34,true
S-34,B-34,true
B-34,L-34,true
P-35,S-35,true
S-35,B-35,true
B-35,L-35,true
P-36,S-36,true
S-36,B-36,true
B-36,L-36,true
P-37,S-37,true
S-37,B-37,true
B-37,L-37,true
P-38,S-38,true
S-38,B-38,true
B-38,L-38,true
P-39,S-39,true
S-39,B-39,true
B-39,L-39,true
P-40,S-40,true
S-40,B-40,true
B-40,L-40,true
P-41,S-41,true
S-41,B-41,true
B-41,L-41,true
P-42,S-42,true
S-42,B-42,true
B-42,L-42,true
P-43,S-43,true
S-43,B-43,true
B-43,L-43,true
P-44,S-44,true
S-44,B-44,true
B-44,L-44,true
P-45,S-45,true
S-45,B-45,true
B-45,L-45,true
P-46,S-46,true
S-46,B-46,true
B-46,L-46,true
P-47,S-47,true
S-47,B-47,true
B-47,L-47,true
P-48,S-48,true
S-48,B-48,true
B-48,L-48,true
P-49,S-49,true
S-49,B-49,true
B-49,L-49,true
P-50,S-50,true
S-50,B-50,true
B-50,L-50,true
P-51,S-51,true
S-51,B-51,true
B-51,L-51,true
P-52,S-52,true
S-52,B-52,true
B-52,L-52,true
P-53,S-53,true
S-53,B-53,true
B-53,L-53,true
P-54,S-54,true
S-54,B-54,true
B-54,L-54,true
P-55,S-55,true
S-55,B-55,true
B-55,L-55,true
P-56,S-56,true
S-56,B-56,true
B-56,L-56,true
P-57,S-57,true
S-57,B-57,true
B-57,L-57,true
P-58,S-58,true
S-58,B-58,true
B-58,L-58,true
P-59,S-59,true
S-59,B-59,true
B-59,L-59,true
P-60,S-60,true
S-60,B-60,true
B-60,L-60,true
P-61,S-61,true
S-61,B-61,true
B-61,L-61,true
P-62,S-62,true
S-62,B-62,true
B-62,L-62,true
P-63,S-63,true
S-63,B-63,true
B-63,L-63,true
P-64,S-64,true
S-64,B-64,true
B-64,L-64,true
P-65,S-65,true
S-65,B-65,true
B-65,L-65,true
P-66,S-66,true
S-66,B-66,true
B-66,L-66,true
P-67,S-67,true
S-67,B-67,true
B-67,L-67,true
P-68,S-68,true
S-68,B-68,true
B-68,L-68,true
P-69,S-69,true
S-69,B-69,true
B-69,L-69,true
P-70,S-70,true
S-70,B-70,true
B-70,L-70,true
P-71,S-71,true
S-71,B-71,true
B-71,L-71,true
P-72,S-72,true
S-72,B-72,true
B-72,L-72,true
P-73,S-73,true
S-73,B-73,true
B-73,L-73,true
P-74,S-74,true
S-74,B-74,true
B-74,L-74,true
P-75,S-75,true
S-75,B-75,true
B-75,L-75,true
P-76,S-76,true
S-76,B-76,true
B-76,L-76,true
P-77,S-77,true
S-77,B-77,true
B-77,L-77,true
P-78,S-78,true
S-78,B-78,true
B-78,L-78,true
P-79,S-79,true
S-79,B-79,true
B-79,L-79,true
P-80,S-80,true
S-80,B-80,true
B-80,L-80,true
P-81,S-81,true
S-81,B-81,true
B-81,L-81,true
P-82,S-82,true
S-82,B-82,true
B-82,L-82,true
P-83,S-83,true
S-83,B-83,true
B-83,L-83,true
P-84,S-84,true
S-84,B-84,true
B-84,L-84,true
P-85,S-85,true
S-85,B-85,true
B-85,L-85,true
P-86,S-86,true
S-86,B-86,true
P-88,S-88,true
S-88,B-88,true
P-90,S-90,true
S-90,B-90,true
P-92,S-92,true
S-92,B-92,true
P-94,S-94,true
S-94,B-94,true
P-106,S-106,true
P-107,S-107,true
P-108,S-108,true
P-109,S-109,true
P-110,S-110,true
P-111,S-111,true
S-111,B-111,true
P-112,S-112,true
S-112,B-112,true
P-113,S-113,true
S-113,B-113,true
P-114,S-114,true
S-114,B-114,true
P-115,S-115,true
S-115,B-115,true
