externalId,amount,currency,transactionDate,referenceId,customerName
L-1,2677.91,INR,2026-08-18,INV-901,Acme Limited
L-2,9807.72,INR,2026-08-18,INV-902,Acme Limited
L-3,7953.28,INR,2026-08-18,INV-903,Acme Limited
L-4,2161.65,INR,2026-08-18,INV-904,Acme Limited
L-5,3130.72,INR,2026-08-18,INV-905,Acme Limited
L-6,7570.66,INR,2026-08-18,INV-906,Acme Limited
L-7,7887.34,INR,2026-08-18,INV-907,Acme Limited
L-8,2945.10,INR,2026-08-18,INV-908,Acme Limited
L-9,265.37,INR,2026-08-18,INV-909,Acme Limited
L-10,1714.65,INR,2026-08-18,INV-910,Acme Limited
L-11,3759.01,INR,2026-08-18,INV-911,Acme Limited
L-12,4408.58,INR,2026-08-18,INV-912,Acme Limited
L-13,5774.89,INR,2026-08-18,INV-913,Acme Limited
L-14,1870.81,INR,2026-08-18,INV-914,Acme Limited
L-15,5046.15,INR,2026-08-18,INV-915,Acme Limited
L-16,8279.06,INR,2026-08-18,INV-916,Acme Limited
L-17,6054.37,INR,2026-08-18,INV-917,Acme Limited
L-18,4302.98,INR,2026-08-18,INV-918,Acme Limited
L-19,7935.73,INR,2026-08-18,INV-919,Acme Limited
L-20,8480.72,INR,2026-08-18,INV-920,Acme Limited
L-21,628.32,INR,2026-08-18,INV-921,Acme Limited
L-22,4031.11,INR,2026-08-18,INV-922,Acme Limited
L-23,7580.32,INR,2026-08-18,INV-923,Acme Limited
L-24,4348.54,INR,2026-08-18,INV-924,Acme Limited
L-25,4831.31,INR,2026-08-18,INV-925,Acme Limited
L-26,7746.19,INR,2026-08-18,INV-926,Acme Limited
L-27,2988.91,INR,2026-08-18,INV-927,Acme Limited
L-28,5781.64,INR,2026-08-18,INV-928,Acme Limited
L-29,8459.40,INR,2026-08-18,INV-929,Acme Limited
L-30,2005.84,INR,2026-08-18,INV-930,Acme Limited
L-31,9180.86,INR,2026-08-18,INV-931,Acme Limited
L-32,4665.56,INR,2026-08-18,INV-932,Acme Limited
L-33,2978.25,INR,2026-08-18,INV-933,Acme Limited
L-34,2791.08,INR,2026-08-18,INV-934,Acme Limited
L-35,1554.26,INR,2026-08-18,INV-935,Acme Limited
L-36,2283.30,INR,2026-08-18,INV-936,Acme Limited
L-37,399.15,INR,2026-08-18,INV-937,Acme Limited
L-38,1840.00,INR,2026-08-18,INV-938,Acme Limited
L-39,7873.15,INR,2026-08-18,INV-939,Acme Limited
L-40,8962.47,INR,2026-08-18,INV-940,Acme Limited
L-41,3598.90,INR,2026-08-18,INV-941,Acme Limited
L-42,5068.37,INR,2026-08-18,INV-942,Acme Limited
L-43,3007.95,INR,2026-08-18,INV-943,Acme Limited
L-44,1861.26,INR,2026-08-18,INV-944,Acme Limited
L-45,6718.42,INR,2026-08-18,INV-945,Acme Limited
L-46,3620.82,INR,2026-08-18,INV-946,Acme Limited
L-47,1684.13,INR,2026-08-18,INV-947,Acme Limited
L-48,7637.45,INR,2026-08-18,INV-948,Acme Limited
L-49,8301.19,INR,2026-08-18,INV-949,Acme Limited
L-50,7854.88,INR,2026-08-18,INV-950,Acme Limited
L-51,8975.38,INR,2026-08-18,INV-951,Acme Limited
L-52,9732.95,INR,2026-08-18,INV-952,Acme Limited
L-53,3714.00,INR,2026-08-18,INV-953,Acme Limited
L-54,2642.01,INR,2026-08-18,INV-954,Acme Limited
L-55,5538.52,INR,2026-08-18,INV-955,Acme Limited
L-56,3494.96,INR,2026-08-18,INV-956,Acme Limited
L-57,5799.33,INR,2026-08-18,INV-957,Acme Limited
L-58,2371.21,INR,2026-08-18,INV-958,Acme Limited
L-59,4295.01,INR,2026-08-18,INV-959,Acme Limited
L-60,8867.97,INR,2026-08-18,INV-960,Acme Limited
L-61,2028.18,INR,2026-08-18,INV-961,Acme Limited
L-62,7316.30,INR,2026-08-18,INV-962,Acme Limited
L-63,9875.76,INR,2026-08-18,INV-963,Acme Limited
L-64,3948.70,INR,2026-08-18,INV-964,Acme Limited
L-65,4428.59,INR,2026-08-18,INV-965,Acme Limited
L-66,1664.77,INR,2026-08-18,INV-966,Acme Limited
L-67,1613.44,INR,2026-08-18,INV-967,Acme Limited
L-68,8516.85,INR,2026-08-18,INV-968,Acme Limited
L-69,9481.37,INR,2026-08-18,INV-969,Acme Limited
L-70,8867.16,INR,2026-08-18,INV-970,Acme Limited
L-71,7453.50,INR,2026-08-18,INV-971,Acme Limited
L-72,6163.56,INR,2026-08-18,INV-972,Acme Limited
L-73,3852.54,INR,2026-08-18,INV-973,Acme Limited
L-74,4237.96,INR,2026-08-18,INV-974,Acme Limited
L-75,5745.35,INR,2026-08-18,INV-975,Acme Limited
L-76,3351.17,INR,2026-08-18,INV-976,Stripe Corporation
L-77,5106.29,INR,2026-08-18,INV-977,Stripe Corporation
L-78,8001.63,INR,2026-08-18,INV-978,Stripe Corporation
L-79,9145.35,INR,2026-08-18,INV-979,Stripe Corporation
L-80,6452.31,INR,2026-08-18,INV-980,Stripe Corporation
L-81,694.52,INR,2026-08-18,INV-981,Stripe Corporation
L-82,4012.57,INR,2026-08-18,INV-982,Stripe Corporation
L-83,8862.07,INR,2026-08-18,INV-983,Stripe Corporation
L-84,4980.45,INR,2026-08-18,INV-984,Stripe Corporation
L-85,4182.69,INR,2026-08-18,INV-985,Stripe Corporation
