externalId,amount,currency,transactionDate,referenceId,description
S-1,4613.40,INR,2026-08-18,PAY-1001,ACME LTD SETTLEMENT
S-2,4121.22,INR,2026-08-18,PAY-1002,ACME LTD SETTLEMENT
S-3,8026.66,INR,2026-08-18,PAY-1003,ACME LTD SETTLEMENT
S-4,9193.13,INR,2026-08-18,PAY-1004,ACME LTD SETTLEMENT
S-5,3990.26,INR,2026-08-18,PAY-1005,ACME LTD SETTLEMENT
S-6,9281.55,INR,2026-08-18,PAY-1006,ACME LTD SETTLEMENT
S-7,6132.26,INR,2026-08-18,PAY-1007,ACME LTD SETTLEMENT
S-8,2239.62,INR,2026-08-18,PAY-1008,ACME LTD SETTLEMENT
S-9,10061.84,INR,2026-08-18,PAY-1009,ACME LTD SETTLEMENT
S-10,624.64,INR,2026-08-18,PAY-1010,ACME LTD SETTLEMENT
S-11,6554.88,INR,2026-08-18,PAY-1011,ACME LTD SETTLEMENT
S-12,7987.03,INR,2026-08-18,PAY-1012,ACME LTD SETTLEMENT
S-13,7922.35,INR,2026-08-18,PAY-1013,ACME LTD SETTLEMENT
S-14,1718.58,INR,2026-08-18,PAY-1014,ACME LTD SETTLEMENT
S-15,3193.94,INR,2026-08-18,PAY-1015,ACME LTD SETTLEMENT
S-16,555.46,INR,2026-08-18,PAY-1016,ACME LTD SETTLEMENT
S-17,6106.31,INR,2026-08-18,PAY-1017,ACME LTD SETTLEMENT
S-18,9977.46,INR,2026-08-18,PAY-1018,ACME LTD SETTLEMENT
S-19,873.49,INR,2026-08-18,PAY-1019,ACME LTD SETTLEMENT
S-20,9195.97,INR,2026-08-18,PAY-1020,ACME LTD SETTLEMENT
S-21,3466.03,INR,2026-08-18,PAY-1021,ACME LTD SETTLEMENT
S-22,8211.01,INR,2026-08-18,PAY-1022,ACME LTD SETTLEMENT
S-23,4104.60,INR,2026-08-18,PAY-1023,ACME LTD SETTLEMENT
S-24,5181.62,INR,2026-08-18,PAY-1024,ACME LTD SETTLEMENT
S-25,1660.57,INR,2026-08-18,PAY-1025,ACME LTD SETTLEMENT
S-26,2530.99,INR,2026-08-18,PAY-1026,ACME LTD SETTLEMENT
S-27,1129.29,INR,2026-08-18,PAY-1027,ACME LTD SETTLEMENT
S-28,4053.00,INR,2026-08-18,PAY-1028,ACME LTD SETTLEMENT
S-29,1778.11,INR,2026-08-18,PAY-1029,ACME LTD SETTLEMENT
S-30,4956.16,INR,2026-08-18,PAY-1030,ACME LTD SETTLEMENT
S-31,723.13,INR,2026-08-18,PAY-1031,ACME LTD SETTLEMENT
S-32,901.46,INR,2026-08-18,PAY-1032,ACME LTD SETTLEMENT
S-33,6677.46,INR,2026-08-18,PAY-1033,ACME LTD SETTLEMENT
S-34,2963.58,INR,2026-08-18,PAY-1034,ACME LTD SETTLEMENT
S-35,1863.80,INR,2026-08-18,PAY-1035,ACME LTD SETTLEMENT
S-36,6543.85,INR,2026-08-18,PAY-1036,ACME LTD SETTLEMENT
S-37,5129.42,INR,2026-08-18,PAY-1037,ACME LTD SETTLEMENT
S-38,6217.18,INR,2026-08-18,PAY-1038,ACME LTD SETTLEMENT
S-39,1705.53,INR,2026-08-18,PAY-1039,ACME LTD SETTLEMENT
S-40,8543.70,INR,2026-08-18,PAY-1040,ACME LTD SETTLEMENT
S-41,7687.19,INR,2026-08-18,PAY-1041,ACME LTD SETTLEMENT
S-42,8887.72,INR,2026-08-18,PAY-1042,ACME LTD SETTLEMENT
S-43,5347.73,INR,2026-08-18,PAY-1043,ACME LTD SETTLEMENT
S-44,6794.80,INR,2026-08-18,PAY-1044,ACME LTD SETTLEMENT
S-45,9201.18,INR,2026-08-18,PAY-1045,ACME LTD SETTLEMENT
S-46,4734.53,INR,2026-08-18,PAY-1046,ACME LTD SETTLEMENT
S-47,8515.86,INR,2026-08-18,PAY-1047,ACME LTD SETTLEMENT
S-48,3045.65,INR,2026-08-18,PAY-1048,ACME LTD SETTLEMENT
S-49,5294.44,INR,2026-08-18,PAY-1049,ACME LTD SETTLEMENT
S-50,2482.36,INR,2026-08-18,PAY-1050,ACME LTD SETTLEMENT
S-51,2582.73,INR,2026-08-18,PAY-1051,ACME LTD SETTLEMENT
S-52,1125.64,INR,2026-08-18,PAY-1052,ACME LTD SETTLEMENT
S-53,10068.61,INR,2026-08-18,PAY-1053,ACME LTD SETTLEMENT
S-54,9467.80,INR,2026-08-18,PAY-1054,ACME LTD SETTLEMENT
S-55,7406.60,INR,2026-08-18,PAY-1055,ACME LTD SETTLEMENT
S-56,1094.25,INR,2026-08-18,PAY-1056,ACME LTD SETTLEMENT
S-57,1795.63,INR,2026-08-18,PAY-1057,ACME LTD SETTLEMENT
S-58,8473.17,INR,2026-08-18,PAY-1058,ACME LTD SETTLEMENT
S-59,8034.66,INR,2026-08-18,PAY-1059,ACME LTD SETTLEMENT
S-60,1447.84,INR,2026-08-18,PAY-1060,ACME LTD SETTLEMENT
S-61,1344.58,INR,2026-08-19,PAY-1061,ACME LTD SETTLEMENT
S-62,9379.93,INR,2026-08-19,PAY-1062,ACME LTD SETTLEMENT
S-63,785.92,INR,2026-08-19,PAY-1063,ACME LTD SETTLEMENT
S-64,6541.87,INR,2026-08-19,PAY-1064,ACME LTD SETTLEMENT
S-65,8173.90,INR,2026-08-19,PAY-1065,ACME LTD SETTLEMENT
S-66,4664.52,INR,2026-08-19,PAY-1066,ACME LTD SETTLEMENT
S-67,1188.71,INR,2026-08-19,PAY-1067,ACME LTD SETTLEMENT
S-68,3270.83,INR,2026-08-19,PAY-1068,ACME LTD SETTLEMENT
S-69,1735.74,INR,2026-08-19,PAY-1069,ACME LTD SETTLEMENT
S-70,8123.15,INR,2026-08-19,PAY-1070,ACME LTD SETTLEMENT
S-71,4988.77,INR,2026-08-19,PAY-1071,ACME LTD SETTLEMENT
S-72,4448.80,INR,2026-08-19,PAY-1072,ACME LTD SETTLEMENT
S-73,7838.14,INR,2026-08-19,PAY-1073,ACME LTD SETTLEMENT
S-74,2334.61,INR,2026-08-19,PAY-1074,ACME LTD SETTLEMENT
S-75,4956.04,INR,2026-08-19,PAY-1075,ACME LTD SETTLEMENT
S-76,1738.15,INR,2026-08-18,PAY-1076,A.C.M.E. CORP
S-77,7440.77,INR,2026-08-18,PAY-1077,A.C.M.E. CORP
S-78,8157.17,INR,2026-08-18,PAY-1078,A.C.M.E. CORP
S-79,1112.83,INR,2026-08-18,PAY-1079,A.C.M.E. CORP
S-80,3988.16,INR,2026-08-18,PAY-1080,A.C.M.E. CORP
S-81,1773.66,INR,2026-08-18,PAY-1081,A.C.M.E. CORP
S-82,2816.39,INR,2026-08-18,PAY-1082,A.C.M.E. CORP
